Title	Publisher/Author	F	GRL	Box	#books	minlevel	maxlevel	#ords	keyword
A Dragon in my Backpack	Troll Associates	F	Yellow	135	2				
A Fair Swap	Rigby PM Collection	F	Light Blue	70	6	30	30	861	
A Fair Swap	Rigby	F	Yellow	68	2	23	23		
A Farmyard Fiasco	Wright Group	F	Orange	29	5	13	13		
A Farmyard Fiasco	The Book Bank	F	Orange						
A First-Start Easy Reader- Bedtime Story	Troll	F	Green		1				
A Friend	Literacy 2000	F	Orange	21	21	12	12	57	
A friend for little white rabbit	Rigby PM	F	Green	40A	7	8	8		
A Friend for Max	Rigby	F	Orange	11	2	12	12		
A Froggy Tale	Literacy L2000	F	Red	1	6	16	16	355	
A Giant's Cake	Mondo	F	Red	1	6	16	17		
A Girl Called Al	Greene	F	Light Blue	9	10				
A Hairy Question	Sundance	F	Red	66	2	18	20		
A Home	Harcourt Brace	F	Green		1				
A Home	Harcourt Brace	F	Green		1				
A home for Little Teddy	Rigby	F	Green	7a	1	4	5	153	
A Home for Nellie	Bookworks	F	Light Blue	42	5	36	36		
A House	Rigby	F	Dark Blue	13	16	1	1	32	
A House for Me	Twig Books	F	Green	38	6				
A House is a House for Me	Scholastic	F	Yellow	77	7	24	24		
A Job for Jim	Sunshine Books	F	Red	46	1	18	20		
A Knight Journey	Sundance	F	Purple	61	7				
A Likely Place	Houghton-Mifflin	F	Lime	30	3				
A Likely Place	Houghton-Mifflin	F	Light Blue	27	6				
A Lion's Dinner	Dominie Collection	F	Yellow	70	4	24	24		
A Lion's Dinner - Joy Chapters	Cowley	F	Yellow	70	4	24	24		
A Little Adventure	Rigby PM Collection	F	Light Blue	71	1	30	30	822	
A Little Adventure	Rigby	F	Yellow	67	1	23	23		
A Little Seed	Rigby	F	Dark Blue	37	8	2	2	18	
A Long Way from Chicago	Scholastic	F	Lime	67	5	44	44		
A Lucky Day for Little Dinosaur	Rigby	F	Green	40A	8	8	8	135	
A Medal for Molly	Rigby	F	Yellow	80	8	25	25		
A New Mother	Perfection Learning	F	Light Blue	48	4	36	38		
A New School for Megan	Rigby	F	Red	47	6	20	20	490	
A party for Brown Mouse	Rigby	F	Green	37	1	8	8		
A Piece of Paper	Rigby	F	Green	15a	17	6	6	85	
A Pocketful of Mouse	Literacy 2000	F	Lime	49		40	40	250	
A Pocketful of Poises	Literacy Tree Rigby	F	Light Blue	21	12				
A Pony Named Shawney	Book Shop	F	Yellow	75	5	24	24		 
A Prize for Purry	Literacy L2000	F	Red	63	1	20	20		
A Raindrop	Dominie Press	F	Dark Blue	78a	6	3	4	41	
A Scrumptious Sundae	Literacy Tree	F	Dark Blue	45	7	2	2	17	
A Silent World	Literacy 2000	F	Yellow	76	5	24	24	250+	
A Special Friend	Carousel readers	F	Green	40	1	9	9		
A Spider in My Bedroom	Rigby PM	F	Red	45	9	19	19		
A String in the Harp	Scholastic	F	Neon Red	10	2				
A Surprise for Mom	Kaeden Corp.	F	Green	34	4	7	8	101	
A Surprise for Zack	Rigby	F	Red	12	4	17	17		
A Taste of Blackberries	Scholastic	F	Lime	29	4				
A Toy Box	Literacy Tree	F	Dark Blue	14	13	1	1	17	
A Treasure Island	Rigby	F	Orange	4	1	11	11		
A Tree Fell Over the River	Sundance	F	Green	23	3	6	6		
A tree horse	Rigby Collection	F	Orange	45A	17	14	14		
A Walk for Pickles	Pioneer Valley	F	Green	3	6	5	5	82	
A Word to the Wise	Scholastic	F	Purple	18	5				
A World of Imagination	Literacy Tree Rigby	F	Light Blue	38	3	38	38		
A Wrinkle In Time	Dell	F	Purple	25	4				
A Year on My Street	Yearling	F	Yellow	118	5	28	28		
A Yummy Lunch	Pioneer Valley	F	Dark Blue	44	1	2	2	22	
A Zoo	Literacy Tree	F	Dark Blue	8	19	1	1	14	
Abel's Island	Houghton-Mifflin	F	Lime	11	8				
Abel's Island	Houghton-Mifflin	F	Purple	37	10				
Abiyoyo	Scholastic	F	Light Blue	38	2	38	38		
Across Five Aprils	Berkley	F	Neon Red	19	2				
Across the Stream	Mulberry Books	F	Green	64	6	9	10		
African Safari		F	Light Blue	3	11				
After a Bath	Houghton Mifflin	F	Orange	nm1	4				
After Goldilocks	Harcourt Brace	F	Green	11	1	5	6		
After the Bath	Houghton Mifflin	F	Orange		4				
After the Flood	Rigby	F	Orange	23	2	12	12		
After the Rain	Literacy Tree	F	Dark Blue	24	9	2	2	48	
Alexander and the Terrible, Horrible, No Good, Very Bad Day	Aladdin Books	F	Light Blue	79	6				
Alexander and the Wind-Up Mouse	Scholastic	F	Yellow	118	5	28	28		
Alfie's Gift	Literacy Tree	F	Yellow	58	4	23	24	250	
Alfred the Curious	Rigby	F	Yellow	86	8	26	26		
Ali Baba Bernstein	Scholastic	F	Light Blue	39	3				
All About Dinosaurs	Dominie Press	F	Dark Blue	78a	2	3	4	32	
All Because I'm Older	Naylor	F	Yellow	69	1	24	24		
All By Myself	Mayer	F	Orange						
All of Me	Literacy 2000	F	Dark Blue	48	4	2	2	25	
All The World's a Stage	Literacy Tree Rigby	F	Light Blue	38	4	38	38		
Almost Sisters	Perfection Learning	F	Light Blue	12	5				
Almost Starry Skinny Bones	Random House-Park	F	Light Blue	39	4				
Along Way From Chicago	Scholastic	F	Purple	23	3				
Altogether at One Time	Aladdin	F	Purple	30	5				
Always Friend Club- Cricket Goes to the Dogs	Troll Associates	F	Yellow	135	2				
Always Friends Club - Beautiful Brittany	Troll	F	Lime	31	5				
Amber Brown Is Feeling Blue	Danzig	F	Light Blue	17	2				
Amber Brown Sees Red	Scholastic	F	Light Blue	17	1				
Amber Brown: You Can't Eat Your Chicken Pox	Scholastic	F	Light Blue	17	2				
Amelia Bedelia Series - Amelia Bedelia	Troll Associates	F	Yellow	45	4	23	24	250	
Amelia Bedelia Series - Come Back, Amelia Bedelia	Troll Associates	F	Yellow	45	4	23	24	250	
Amelia Bedelia Series - Good Work, Amelia Bedelia	Troll Associates	F	Yellow	45	4	23	24	250	
Amelia Bedelia series - Happy Haunting, Amelia Bedelia	Scholastic	F	Yellow	45	4	24	24		
Amelia Bedelia Series - Teach Us, Amelia Bedilia	Troll Associates	F	Yellow	45	2	23	24	250	
Amigo means Friend	Troll Associates	F	Yellow	135	1				
Amy Goes to School	Literacy Tree	F	Dark Blue	83	42	4	4	90	
An Amazing Journey	Book Treks	F	Light Blue	13	6	38	38		
Anastasia at Your Service	Dell	F	Purple	28	1				
Anastasia Krupnik	Bantam	F	Neon Red	8	3				
Anastasia On Her Own	Dell	F	Neon Red	13	1				
Anastasia, Ask Your Analyst	Lowry	F	Light Blue						
Anastasia's Chosen Career	Dell	F	Neon Red	13	5				
And Billy Went Out to Play	Bookshelf	F	Orange	37	4	14	14		
Angel Child, Dragon Child	Scholastic	F	Yellow	125	4	28	30		
Angela, Private Citizen	Scholastic	F	Purple	28	3				
Angus Thought He Was Big	Giant Step Readers	F	Orange	nm1	4				
Animal Adverisements	Sails - Rigby	F	Yellow	73	3	24	24		
Animal Babies	Children's Press	F	Green	36	8	7	8	114	
Animal homes	Rigby PM	F	Orange						
Animal Tracks	WrightGroup	FF	Green	 					
Animals	Rigby Smart Start	F	Dark Blue	54	7	3	3	28	
Animals At the Zoo	Sprouts	F	Green	76a	12	3	3	35	
Animals Love the Fair	Literacy 2000	F	Green	28a	2	7	8	43	
Animals Say	Rigby Sails	F	Yellow	108	4	28	28		
Anna Banana and Me	Houghton Mifflin	F	Yellow	132	1	28	28		
Anna-Maria's Moccasins	Book Treks	F	Lime	23	1	40	40		
Anne of Green Gables	Scholastic	F	Purple	24	4				
Ant City	Rigby	F	Red	35	1	18	18	250	
Ants Love Picnics, Too	Literacy Tree	F	Dark Blue	42	28	2	2	27	
Anyone Can Have a Pet	Rigby	F	Red	62	7	20	20		
Appearances	Houghton Mifflin	F	Light Blue	74	1	34	37		
Apple Tree	Literacy Tree	F	Orange						
Are We There Yet?	Teacher's Choice Series	F	Orange		1	13	14	127	
Are We There Yet?	Teacher's Choice Series	F	Orange						
Around and Around	Rigby PM Plus	F	Dark Blue	35	2	2	2		
Around My Classroom	Rigby	F	Green		2				
Around My Home	Rigby	F	Green		3				
Around My House	Rigby	F	Green		3				
Arthur Babysits	Brown	F	Yellow	21	2	21	22		
Arthur Meets the President	Scholastic	F	Yellow	69	1	23	24		
Arthur's Nose	Brown, Marc	F	Yellow	77	1	24	24		
Arthur's Thanksgiving	Brown	F	Yellow		1	23	24		
Ashes for Gold A Tale from Mexico	Mondo	F	Yellow	44	3	23	24	250	
Ask Mr. Bear	Aladdin Flack	F	Red	70	2	18	20		
At the Fair	sundance	F	Green	13	4	5	6	115	
At the Farm	Sundance	F	Dark Blue	59	15	3	3	52	
At the Library	Rigby	F	Dark Blue	78	43	3	3	69	
At the Park	Sundance	F	Dark Blue	90	6	4	5	91	
At the Playground	Sundance	F	Dark Blue	23	3				
At the Playground	Sundance Publishing	F	Green	1A	14	5	5	86	
At The Pool	Wright Group	F	Dark Blue	92	2	4	4	64	
At the Supermarket	Sundance	F	Dark Blue		1	3	4	60	
At the Track	Ready Readers	F	Orange	45	1				
At the Zoo	Sundance	F	Dark Blue	59	5	3	4	73	
At the Zoo	Rigby	F	Dark Blue	47	8	2	2	40	
Awumpalema	Literacy 2000	F	Red	64	6	20	20	250	
Baba Yaga	Rigby	F	Yellow	24	5	21	22	250	
Babe - The Gallant Pig	Houghton-Mifflin	F	Lime	2	4				
Babe and Me	Guttman	F	Lime	67	1	40	40		
Baby	Rigby	F	Dark Blue	1	8	1	1	24	
Baby Animals 	Gage	F	Dark Blue	11	4				
Baby Animals at Home	Wright Group	F	Dark Blue	11	4	1	2	44	
Baby Bear Climbs a tree	Rigby	F	Green	48	5	9	9		
Baby Bear Goes Fishing	Rigby	F	Green	22	22	6	6	112	
Baby Bear's hiding place	Rigby	F	Green	51	2	10	10		
Baby Bear's present	Rigby	F	Green	45	4	9	9		
Baby Elephant Gets Lost	Wright Group	F	Green	13	5	5	6	90	
Baby Hippo	Rigby	F	Green	11	20	5	6	117	
Baby in the Cart	Wright Group	F	Dark Blue	76b	4	6	7	84	
Baby Lamb's first drink	Rigby PM	F	Dark Blue	62	27	3	3	64	
Baby Panda	Rigby PM	F	Green	2	1	5	5	97	
Baby's Birthday	Literacy 2000	F	Green	23	4	6	6	54	
Baby's Dinner	Literacy 2000	F	Green	28a	2	7	8	26	
Baby's Lambs First Drink	Rigby	F	Dark Blue	77	2	4	4		
Babysitter's Club- Jessie's Wish	Martin	F	Light Blue	65	3				
Babysitter's Club- Little Sister #4	Martin	F	Light Blue	65	1				
Bad Hair Day	Teacher's Choice Series	F	Green	39	6	7	8	113	
Bad Luck of King Fred	Literacy Tree	F	Yellow	128	6	29	30		
Bad Luck of King Fred	Literacy Tree	F	Yellow	129	6	29	30		
Bags, Cans, Pots, and Pans	Ready Readers	F	Dark Blue	76a	6	3	4	56	
Bailey School Kids-  Aliens Don't Wear Braces	Dadey/Jones	F	Light Blue	59	6	28	30		
Bailey School Kids - Angels Don't Know Karate	Dadey/Jones	F	Light Blue	58	3				
Bailey School Kids - Bigfoot Doesn't Square Dance	Dadey/Jones	F	Light Blue	64	1				
Bailey School Kids - Cupid Doesn't Flip Hamburgers	Dadey/Jones	F	Light Blue	64	1				
Bailey School Kids  -Cyclops Doesn't Roller-Skate	Dadey/Jones	F	Light Blue	64	1				
Bailey School Kids - Dragons Don't Cook Pizza	Dadey/Jones	F	Light Blue	58	3				
Bailey School Kids - Elves Don't Wear Hard Hats	Dadey/Jones	F	Light Blue	58	5				
Bailey School Kids - Frankenstein Doesn't Plant Petunias	Dadey/Jones	F	Light Blue	59	4				
Bailey School Kids - Frankenstein Doesn't Start Food Fights	Dadey/Jones	F	Light Blue	59	3				
Bailey School Kids - Gargoyles Don't Drive School Buses	Dadey/Jones	F	Light Blue	59	4				
Bailey School Kids - Genies Don't Ride Bicycles	Dadey/Jones	F	Light Blue	64	2				
Bailey School Kids - Ghosts Don't Eat Potato Chips	Dadey/Jones	F	Light Blue	59	3				
Bailey School Kids - Giants Don't Go Snowboarding	Dadey/Jones	F	Light Blue	64	1				
Bailey School Kids - Gremlins Don't Chew Bubble Gum	Dadey/Jones	F	Light Blue	64	1				
Bailey School Kids - Hercules Doesn't Pull Teeth	Dadey/Jones	F	Light Blue	60	5				
Bailey School Kids - Knights Don't Teach Piano	Dadey/Jones	F	Light Blue	60	2				
Bailey School Kids - Leprechauns Don't Play Basketball	Dadey/Jones	F	Light Blue	60	6				
Bailey School Kids - Martians Don't Take Temperatures	Dadey/Jones	F	Light Blue	61	5				
Bailey School Kids - Monsters Don't Scuba Dive	Dadey/Jones	F	Light Blue	63	2				
Bailey School Kids - Mummies Don't Coach Softball	Dadey/Jones	F	Light Blue	58	4				
Bailey School Kids - Pirates Don't Wear Pink Sunglasses	Dadey/Jones	F	Light Blue	61	12				
Bailey School Kids - Robots Don't Catch Chicken Pox	Dadey/Jones	F	Light Blue	62	2				
Bailey School Kids - Santa Claus Doesn't Mop Floors	Dadey/Jones	F	Light Blue	62	4				
Bailey School Kids - Sea Serpents Don't Juggle Water Balloons	Dadey/Jones	F	Light Blue	62	4				
Bailey School Kids - Skeltons Don't Play Tubas	Dadey/Jones	F	Light Blue	64	1				
Bailey School Kids - Trolls Don't Ride Roller Coasters	Dadey/Jones	F	Light Blue	62	4				
Bailey School Kids - Vampires Don't Wear Polka Dots	Dadey/Jones	F	Light Blue	64	10				
Bailey School Kids - Werewolves Don't Go to Summer Camp	Dadey/Jones	F	Light Blue	63	5	28	28	250	
Bailey School Kids - Witches Don't Do Backflips	Dadey/Jones	F	Light Blue	63	2				
Bailey School Kids - Wizards Don't Wear Graduation Gowns	Dadey/Jones	F	Light Blue	63	2				
Bailey School Kids - Zombies Don't Play Soccer	Dadey/Jones	F	Light Blue	63	5				
Baked Potatoes	Wright	F	Green	23	2	6	6	73	
Balancing	Twig Books	F	Dark Blue	12	2				
Ball games	Rigby	F	Dark Blue	20	43	2	2	88	
Balloons	Rigby	F	Dark Blue	1	8	1	1	57	
Bandages	Kaeden Group	F	Green	52	4	10	10		
Banner in the Sky	Ullman	F	Neon Red	25	6	60	60		
Barn Dance	Wright Group	F	Dark Blue	77	4	3	4	47	
Barn Dance	Wright Group	F	Orange	18	1	1	1		
Baseball Fun	Kaeden Group	F	Green	40	8	8	8		
Bath Day for Brutus	Sundance	F	Orange	9	2	12	12		
Bath Time	Wright Group	F	Dark Blue	61	9	3	3	23	
Be a Perfect Person in Three Days	Bantam	F	Neon Red	14	3				
Be Ever Hopeful, Hannlee	Troll	F	Purple	3	2				
Be Quiet	Rigby	F	Dark Blue	54	8	3	3	25	
Beanbag	Literacy 2000	F	Yellow	44	6	23	24	250	
Bears	Scholastic	F	Green	50	2				
Beauregard the Cat	Bookshop	F	Yellow	110	24	28	28		
Bedtime	Rigby PM Plus	F	Dark Blue	79	1	4	4	83	
Bedtime Story	Troll	F	Green		1				
Beetles Lightly Toasted	Dell	F	Lime	1	6	40	40		
Beezus and Ramona	Cleary	F	Light Blue	77	2	38	38		
Behind Rebel Lines	Odyssey Books	F	Lime		3	44	44		
Bella and Rosie Play Hide and Seek	Literacy Footprints	F	Green	23	5	6	6	61	
Bella is a Bad Dog	Literacy Footprints	F	Orange	48	2	15	15	132	
Bella's Birthday	Footprints	F	Dark Blue	90	6	4	4	61	
Ben the Bold	Literacy 2000	F	Dark Blue	51	28	3	4	71	
Bend Stretch and Leap	Rigby	F	Red	40	11	19	19		
Ben's Dad	Rigby PM	F	Green	16	26	6	6	103	
Ben's Pets	Ready Readers	F	Dark Blue	76a	6	3	4	30	
Ben's Red Car	Rigby	F	Dark Blue	32	52	2	2	49	
Ben's Teddy Bear	Rigby	F	Dark Blue	99	23	5	5	68	
Ben's Tooth	Rigby	F	Orange	39	3	14	14	197	
Ben's treasure hunt	Rigby	F	Dark Blue	93	28	4	4	102	
Ben's Tunes	Rigby	F	Yellow	112	20	28	28		
Best Book for Terry Lee	Literacy Tree	F	Red	72	2				
Best Friends	Kaeden Group	F	Green	34	4	7	7	31	
Best Friends for Frances	Scholastic	F	Yellow	69	4	24	24		
Betsy and the Circus	Archway	F	Lime	31	4				
Beyond Rebel Lines	Reit	F	Lime	19	3				
BFG	Dahl	F	Lime	27	3	44	44		
Big and Little	Rigby	F	Dark Blue	26	8	2	2	68	
Big Sea Animals	Rigby	F	Dark Blue	36	7	2	2	79	
Big things	Rigby PM	F	Dark Blue	16	11	1	1	33	
Billy at school	Rigby PM	F	Green	44	4	9	9		
Billy can count	Rigby	F	Green	24	11	6	6	122	
Billy is hiding	Rigby PM	F	Green	3	1	5	5	97	
Bingo Goes to School	Rigby	F	Green	44	6	9	9		
Bingo's Birthday	Rigby	F	Green	34	2	7	7		
Bird Talk	Book Treks	F	Light Blue	80	21				
Bird Watching	Rigby PM	F	Red	45	11	19	19		
Birds	Literacy 2000	F	Green	49	1	10	10	150	
Birds (Poetry)	Literacy 2000	F	Green	1P	1	10	10	50	
Birdwoman Interview	Rigby Sails	F	Yellow		2	24	24		
Birthday Balloons	Rigby PM Collection	F	Green	50	2	10	10	182	
Birthday presents	Rigby PM	F	Orange	3A	2	11	11		
Birthdays	Sunshine	F	Red	11	3	16	17	147	
Black Beauty	Random House	F	Light Blue	83	4	34	37		
Blackberries	Rigby	F	Dark Blue	92	17	4	4	107	
Blackberries in the Dark	Jukes 	F	Light Blue	47	23	34	35		
Blubber	Blume	F	Lime	66	4	44	44		
Blue Day	Literacy Tree	F	Dark Blue	33	32	2	3	35	
BMX Billy	Literacy 2000	F	Orange	10	2	12	12	93	
Books	Rigby	F	Dark Blue	37	9	2	2	21	
Bookstore Cat	Little Readers	F	Red	8	5	16	17		
Boots and Shoes	Kaeden Group	F	Green	28a	5	7	7		
Bossy Bettina	Literacy Tree	F	Green	49	4	9	10	97	
Brandon's New School	Pioneer Valley Press	F	Green	52	1	10	10	163	
Brave Ben	Literacy 2000	F	Red	19	1	18	18		
Brave Dave and Jane	Electronic Education	F	Orange						
Brave Father Mouse	Rigby PM	F	Green	20	20	5	6	92	
Brave Triceratops	Rigby	F	Orange	13	2	12	12		
Bread for the ducks	Rigby PM	F	Green	24	9	6	6	109	
Breakfast	Wright Group	F	Dark Blue	92	5	3	4	35	
Breakfast	Houghton Mifflin	F	Green	1	6	1	1		
Brian's Winter	Scholastic	F	Neon Red	14	3				
Bridge to Terabithia	Paterson	F	Lime	17	7	44	44		
Bright Freedom's Song	Scholastic Houston	F	Purple	22	1	50	59		
Bringing The Sea Back Home	Literacy Tree	F	Yellow	73	1	24	24	250	
Brith the Terrible	Rigby	F	Yellow	100	4	28	30	250	
Brothers	Dominie 	F	Green	35a	3	7	8	65	
Brothers!	Houghton Mifflin	F	Orange		7				
Brown Bear, Brown Bear, What Do You See?	Holt, Rhinehart	F	Dark Blue	64	3	3	4		
Brown Mouse gets some corn	Rigby	F	Green	67	3	10	10		
Brown Mouse plays a trick	Rigby PM	F	Green	44	4	9	9		
Bruno's Birthday	Literacy 2000	F	Green	28	2	7	8	32	
Brute and the Flute	Electronic Education	F	Orange						
Bubble Buster	Sundance	F	Yellow	23	1	21	22		
Bubbles	Literacy 2000	F	Dark Blue	81	4	3	4	33	
Buffy	Literacy Tree	F	Dark Blue	49	29	2	2	28	
Buffy's Tricks	Literacy Tree	F	Orange	15	4	12	12	97	
Buffy's Tricks	Literacy Tree	F	Orange	18	28	12	12	97	
Bugs for Breakfast	Rigby	F	Green	48	1	9	9		
Bumps in the Night	Yearling	F	Yellow	22	4	21	24	250	
Bunnicula	Howe	F	Lime	5	1	40	40		
Bunrakkit	Sunshine Books	F	Light Blue	69	5				
Buster	Twig	F	Dark Blue	76c	5	3	4	36	
Busy Week	Houghton Mifflin	F	Green	1	5	1	1		
Butterflies in my Garden	Mondo	F	Green	51	1	10	10		
Buzz	Scholastic	F	Orange						
Buzz Off, Bee	Literacy Tree	F	Green	6	9	5	6	85	
Buzz Said the Bee	Scholastic	F	Orange		7	12	12		
Caddie Woodlawn	Brink	F	Lime	8	1	40	40		
Calico Bush	Dell	F	Neon Red	16	7				
Calico Captive	Dell	F	Purple	24	2				
Call It Courage	Scholastic	F	Neon Red	22	11	60	60		
Cam Jansen and the Chocolate Fudge Mystery	Adler	F	Yellow	51	10	23	24		
Cam Jansen and the Mystery at the Babe Ruth Baseball	Adler	F	Yellow	48	8	23	24		
Cam Jansen and the Mystery at the Haunted House	Adler	F	Yellow	50	2	23	24		
Cam Jansen and the Mystery at the Monkey House	Adler	F	Yellow	49	3	23	24		
Cam Jansen and the Mystery of Flight 54	Adler	F	Yellow	50	2	23	24		
Cam Jansen and the Mystery of the Carnival Prize	Adler	F	Yellow	49	1	23	24		
Cam Jansen and the Mystery of the Circus Clown	Adler	F	Yellow	48	6	23	24		
Cam Jansen and the Mystery of the Gold Coins	Adler	F	Yellow	47	9	23	24		
Cam Jansen and the Mystery of the Monster Movie	Adler	F	Yellow	48	4	23	24		
Cam Jansen and the Mystery of the Stolen Corn Popper	Adler	F	Yellow	49	1	23	24		
Cam Jansen and the Mystery of the Stolen Diamonds	Adler	F	Yellow	46	3	23	24		
Cam Jansen and the Mystery of the Television Dog	Adler	F	Yellow	47	11	23	24		
Cam Jansen and the Mystery of the U.F.O.	Adler	F	Yellow	37	5	23	24		
Cam Jansen and the Mystery of the U.F.O.	Adler	F	Yellow	46	5	23	24		
Cam Jansen The Mystery of the Gold Coins	Adler	F	Yellow	37	1	23	24		
Cam Jensen and the First Day of School Mystery	Adler	F	Yellow	50	1	23	24	250	
Cam Jensen and the Mystery of the Carnival Prize	Adler	F	Yellow	50	2	23	24		
Cam Jensen and the Mystery of the Dinosaur Bones	Jansen	F	Yellow	120	21	28	28	250	
Camping	Literacy Tree	F	Dark Blue	33	19	2	2	19	
Camping with Claudine	Literacy 2000	F	Red	65	5	20	20	250	
Can I Have a Dinosaur	Literacy Tree	F	Yellow	75	5	23	24	250	
Can I Play Outside	Literacy Tree	F	Orange	26	2	13	14	121	
Can you Carry It, Harriet	Literacy 2000	F	Green	38	2	8	8	141	
Can you see the eggs	Rigby PM	F	Dark Blue	63	38	3	3	87	
Candlelight	Rigby PM	F	Green	23	1	12	12	231	
Candlelight	Rigby 	F	Orange	13	1	12	12		
Candy, the old car	Rigby	F	Orange	25	2	13	13		
Can't You See We're Reading?	Nelson	F	Green	13	2	5	6	71	
Cara's Letters	Rigby	F	Yellow	127	8	29	29		
Carla's Breakfast	Kaeden Group	F	Orange	14	5	12	12		
Carla's Ribbons	Kaeden Group	F	Orange	3	7	11	11		
Carlos	Houghton Mifflin	F	Green	1	6	1	1		
Carrot Soup	Literacy Tree	F	Green	39	26	8	8	196	
Cat and Mouse	Rigby PM	F	Dark Blue	19	37	2	2	75	
Cat and Mouse	Literacy Tree	F	Dark Blue	73	19	3	3	62	
Cat Food	Rigby	F	Dark Blue	65	19	3	3	35	
Catching	Dominie Press	F	Dark Blue	27	7	2	2	35	
Catching Air	Rigby	F	Light Blue	6	12	30	30		
Catching Cam's Balloon	ETA Cuisenaire	F	Yellow	71	9	24	24		
Catching the Sun	Book Treks	F	Purple	40	5				
Cats and Kittens	Scott Foreman	F	Green	44	1	9	9	51	
Cats and Mice	Scholastic	F	Dark Blue	11	4	1	1		
Cat's Diary	Sails - Rigby	F	Yellow	73	1	24	24		
Caught by the Sea	Orbit	F	Lime	43	28	40	40		
Cecil	Rigby	F	Green	50	9				
Chain Reaction	Book Treks	F	Lime	43	6				
Champions	Twig Books	F	Dark Blue	64	8	3	3	13	
Changes	Houghton Mifflin	F	Light Blue	10	15				
Chano	Literacy Tree	F	Orange	nm1	7				
Chano	Literacy L2000	F	Red	47	7	20	20	250	
Charlie	Literacy Tree	F	Yellow	78	4	24	24	250+	
Charlie and the Chocolate Factory	Dahl	F	Lime	56	10	40	40		
Charlie and the Great Glass Elevator	Bantam	F	Purple	50	2				
Charlotte's Web	White	F	Lime	52	12				
Cherries and Cherry Pits	Williams-Houghton-Mifflin	F	Light Blue	41	11	38	38	250	
Chet and Chuck	Electronic Education	F	Orange						
Chicken in the Middle of the Road	Book Shop	F	Red	6	10	16	16		
Chicken Soup with Rice	Scholastic	F	Yellow	129	2	28	30	310	
Chickens	Bookshelf	F	Orange	40	6	14	14		
Chocolate Fever	Smith	F	Light Blue	24	2				
Choosing a puppy	Rigby	F	Green	15A	14	6	6	158	
Christmas	Rigby Smart Start	F	Dark Blue	11	8	1	1	16	
Christmas Shopping	 	F	Green	38	4	8	8	48	
Chug	Rigby	F	Green	65	1	10	10	203	
Cicely's Secret	Book Treks	F	Lime	23	6	40	40		
Circles of Gold	Scholastic	F	Lime	9	7				
City Storm	Wright Group	F	Green	32	5	7	7	180	
Class Becomes A Star	Literacy 2000	F	Yellow	59	5	23	24	250	
Claudine's Concert	Literacy 2000	F	Yellow	67	3	23	24	250	
Clean Your Room, Tanya	ETA Scooters	F	Yellow	72	4	24	24		
Clever Brown Mouse	Rigby	F	Orange	25	9	13	13		
Clever Fox	Rigby	F	Green	24	9	6	6	114	
Clifford and the Bears	Scholastic	F	Orange		2				
Clifford El Gran Perro Colorado (In Spanish)	Scholastic	F	Yellow	78	1	24	24		
Clifford Loves Autumn	Scholastic	F	Orange		2				
Clifford Saves the Birds	Scholastic	F	Orange		1				
Clifford The Big Red Dog	Scholastic	F	Yellow	70	6	24	24		
Clifford's New Friends	Scholastic	F	Orange		4				
Climbing	Rigby PM	F	Dark Blue	21	9	2	2	48	
Climbing	Literacy Tree	F	Dark Blue	72	27	3	3	34	
Clothes	Dominie 	F	Green	55	3	9	10	103	
